,amount,currency,exchange_rate,amount_usd
0,43.75,EUR,1.09,47.63
1,385.5,GBP,1.27,489.01
2,495.5,GBP,1.27,628.55
3,117.99,GBP,1.27,149.67
4,624.0,USD,1.0,624.0
5,522.99,GBP,1.27,663.42
6,951.75,USD,1.0,951.75
7,703.75,GBP,1.27,892.71
8,371.99,USD,1.0,371.99
9,613.05,USD,1.0,613.05
10,843.99,GBP,1.27,1070.61
11,647.25,USD,1.0,647.25
12,650.05,EUR,1.09,707.71
13,168.05,USD,1.0,168.05
14,474.25,GBP,1.27,601.59
15,963.9,USD,1.0,963.9
16,831.0,GBP,1.27,1054.13
17,649.75,USD,1.0,649.75
18,797.0,EUR,1.09,867.69
19,824.1,GBP,1.27,1045.38
20,213.1,EUR,1.09,232.0
21,46.9,EUR,1.09,51.06
22,397.05,USD,1.0,397.05
23,695.05,GBP,1.27,881.68
24,656.25,USD,1.0,656.25
25,507.49,GBP,1.27,643.76
26,935.99,GBP,1.27,1187.31
27,387.1,GBP,1.27,491.04
28,902.9,GBP,1.27,1145.34
29,715.05,EUR,1.09,778.47
30,377.95,USD,1.0,377.95
31,485.0,USD,1.0,485.0
32,911.1,GBP,1.27,1155.74
33,759.9,GBP,1.27,963.94
34,163.49,USD,1.0,163.49
35,602.99,USD,1.0,602.99
36,421.99,GBP,1.27,535.3
37,628.49,USD,1.0,628.49
38,322.25,USD,1.0,322.25
39,199.1,EUR,1.09,216.76
40,820.99,GBP,1.27,1041.44
41,323.05,EUR,1.09,351.7
42,11.05,GBP,1.27,14.02
43,465.1,GBP,1.27,589.98
44,955.0,USD,1.0,955.0
45,649.99,GBP,1.27,824.52
46,813.95,GBP,1.27,1032.5
47,547.0,GBP,1.27,693.88
48,681.99,GBP,1.27,865.11
49,541.99,EUR,1.09,590.06
50,503.49,EUR,1.09,548.15
51,503.0,USD,1.0,503.0
52,122.9,GBP,1.27,155.9
53,266.0,USD,1.0,266.0
54,524.9,GBP,1.27,665.84
55,287.99,EUR,1.09,313.53
56,682.9,GBP,1.27,866.27
57,324.0,EUR,1.09,352.74
58,626.1,EUR,1.09,681.64
59,80.1,EUR,1.09,87.2
60,73.05,EUR,1.09,79.53
61,898.49,EUR,1.09,978.19
62,883.75,USD,1.0,883.75
63,985.25,GBP,1.27,1249.8
64,460.9,EUR,1.09,501.78
65,248.1,GBP,1.27,314.72
66,89.99,GBP,1.27,114.15
67,334.95,USD,1.0,334.95
68,357.0,EUR,1.09,388.67
69,336.1,EUR,1.09,365.91
70,713.95,EUR,1.09,777.28
71,527.75,USD,1.0,527.75
72,84.95,USD,1.0,84.95
73,626.0,USD,1.0,626.0
